recipe_name,description,ingredients,methods
"
                Chocolate Orange Brownies
            ","
                    Gooey, chocolaty orange brownies – there’s really nothing better. In this recipe, chocolate is paired with one of its favourite fruity companions to give it an extra taste dimension. Whether you’re enjoying them for dessert, a sly snack, or packing them in lunchboxes to surprise your kids, these treats will always go down well with any chocolate fan. Make them and prepare yourself for decadence.  Serves: 6
                ","
                ,250ml (1 cup) butter,
375 ml (1½ cup) sugar,
65 ml (¼ cup) brown sugar,
5 ml (1 tsp.) vanilla essence,
,
,
                ,4 eggs,
125 ml (½ cup) orange marmalade,
330 ml (1⅓ cup) cake wheat flour,
                ,190 ml (¾ cup) cocoa powder,
1 ml (¼ tsp.) baking powder","Cream the butter, sugars and vanilla essence together until light.,
,Add the eggs one at a time, mixing in well before adding the next egg.,
,Beat in the Orange Marmalade.,
,Sift the flour, cocoa powder and baking powder together and gently fold into the egg mixture.,
,Pour the batter into a brownie pan that’s been greased and lined with baking paper.,
,Bake in a preheated oven at 170 °C for about 40 minutes or until a skewer inserted into the brownies comes out clean.,
,Cool and cut into squares.,
 ,
Recipe supplied by ,
,
"
"
                Ice-cream Sandwiches
            ","
                    It’s amazing how easily some biscuits and a tub of ice cream can be transformed into both an extraordinary Christmas dessert and a great way of spending time with the kids. Fun and colourful, these ice cream sandwiches can be made using any or all of your favourite biscuits. Just hand everyone a spoon and let them build their own yummy towers, then finish the creations off with a swirl of decadent chocolate sauce. Serves: 12.
                ","
                ,A box of your favourite biscuits,
200 g peanut brittle,
                ,110 g (2 x 55 g) Snickers bar,
2 L vanilla ice-cream,
                ,150 g dark chocolate slab,
1 cup fresh cream","Remove ice cream from freezer and allow to defrost slightly.,Place peanut brittle in a plastic bag and use a rolling pin to crush it into smaller pieces.,Using a sharp knife, cut the Snickers bar into smaller pieces.,Mix above into the ice cream and refreeze.,Use any cookies and build ice-cream sandwiches.,Serve immediately.,
,Melt chocolate slab and fresh cream over a pot of boiling water.,Reduce until sauce has medium consistency.,Serve over ice-cream sandwiches.,
,For the sauce, fresh cream can be replaced by ¼ cup of Old Brown Sherry or chocolate flavoured liqueur.,You can add chopped cherries, marshmallows or any other chocolate to your ice-cream mixture.,Use BarOne instead of chocolate slab.,
"
"
                Brownie Cookies
            ","
                    This is the big and beautiful brownie cookie of your dreams! 
                ","
                ,
180 g cake wheat flour,
50 g cocoa powder,
1 tsp. baking powder,
1 tsp. salt,
300 g dark chocolate; broken into small pieces,
                ,180 g butter; softened,
270 g muscovado sugar,
3 eggs,
1 tsp. vanilla extract,
2 tsp. coffee powder,
,
                ,
100 g butter; softened to room temperature,
100 g icing sugar,
200 g hazelnut spread","Preheat the oven to 190 degrees °C.,
,In a medium heavy saucepan, combine the chocolate and 2 tbsp. of the butter.,
,Melt over a medium heat while stirring. Set aside to cool slightly.,
,Sieve the flour, cocoa, baking powder and salt together and set aside.,
,In a large mixing bowl, beat the remaining butter for 1 min.  ,
,Add brown sugar and beat until combined, scraping the sides of bowl regularly.,
,Add the eggs, one at a time, beating well after each addition.,
,Add the melted chocolate, vanilla and coffee, and beat until well combined.,
,Add the flour mixture and mix until well combined.,
,Let the batter stand for 10 min. and roll heaped teaspoons of the batter into balls the size of quail eggs.,
,Place on baking paper and press the balls lightly flat with your fingers to make rounds.,
,Bake for 10–15 min. until edges are firm and tops are slightly cracked.,
,Transfer to a wire rack to cool completely.,
,Make the filling by beating the softened butter until smooth.,
,Add the icing sugar and beat well.,
,Add the hazelnut spread and beat for a few minutes until well combined.,
,Spoon or pipe the filling on a cookie and place another cookie on top to form a sandwich.,
"
"
                Curried Lamb Chops
            ","
                    A delicious way to serve a barbeque-time favourite.
                ","
                ,
10 ml oil,
1 large onion; chopped,
375 ml vinegar,
15 ml medium curry powder,
                ,5 ml turmeric,
15 ml ground coriander,
60 ml sugar,
30 ml apricot jam,
                ,
6 lamb loin chops,
Salt and freshly ground pepper","Curry sauce: Heat the oil in a small saucepan and fry the onion until golden brown. Add the remaining ingredients and simmer over low heat for 6–8 minutes until fragrant. Set aside to cool.,
,Meat: Marinate the chops in the cooled sauce for an hour or overnight.,
,Remove the chops from the sauce, season with salt and pepper, and barbeque the chops over hot coals for about 15–20 minutes, until just cooked or to your liking, turning frequently."
"
                Shoulder of Lamb
            ","
                    This rolled shoulder of lamb recipe is filled with crunchy strips of veggies, making this rewarding dish a delightful alternative to the potato-based roast. You'll have fun creating the perfect mouthful with every bite, balancing the different flavours and textures just the way you envisioned it. The right combination of herbs and wine really rounds off this impressive cut of meat, just remember to cook it for the full 2 hours to ensure that it’s tender.
                ","
                ,1 carrot: peeled and diced,
100 g green beans; cut into shorter lengths,
2 celery stalks; chopped,
1 small red pepper; diced,
Salt and freshly ground black pepper,
,
,
                ,700 g shoulder of lamb; deboned,
500 ml fresh white breadcrumbs,
40 ml grated Parmesan cheese,
50 ml beef stock,
1 garlic clove; chopped,
15 ml chopped fresh parsley,
,
,
                ,1 ml chopped fresh thyme,
30 ml olive oil,
250 ml red wine","Blanch the carrot, beans, celery and red pepper in salted boiling water for 2 minutes. Refresh immediately under cold water, drain and set aside. Pat the meat dry with paper towels and put it on a clean surface. Cover with clingfilm and beat it with a meat mallet until about 1 cm thick.,
,Rub the meat with salt and pepper on both sides.,
,Mix the blanched vegetables, breadcrumbs, cheese, stock, garlic and herbs, season the mixture with salt and pepper and spread it evenly over the piece of meat.,
,Roll up the meat, starting from the narrowest end. Secure with string.,
,Heat the oil in a heavy based saucepan and brown the meat all over.,
,Add the wine, reduce the heat and cook covered for about 2 hours.,
,Turn the meat occasionally, adding a little boiling water if necessary.,
,Remove the meat from the saucepan, wrap it in aluminium foil and leave it to rest for 15 min.,
,Reduce the liquid in the saucepan to make a sauce.,
,Carve the meat into slices and serve with roast tomatoes and fresh bread."
"
                Braised Lamb Shank
            ","
                    Serve with buttery mashed potatoes and garnish with fresh herbs.
                ","
                ,Flour,
Salt,
White pepper,
Fresh rosemary,
3 Certified Natural Lamb shanks,
Olive oil,
                ,Garlic,
1 large onion,
2 stalks of celery,
2 carrots,
1 L of chicken stock,
1 tin of whole tomatoes,
                ,A cup of red wine,
Extra vegetables of your choice (we used mushrooms and patty pans),
To serve:,
Parsley,
Buttery mashed potatoes","Make a seasoned flour mixture by combining a handful of flour with salt, white pepper and rosemary.,
,Coat each of the Certified Natural Lamb shanks with a dusting of the flour mixture.,
,Roughly chop garlic, onion, celery and carrots.,Heat up a pot with a dash of olive oil.,
,Fry the shanks until golden brown, then remove from the pot and place aside.,
,Fry the garlic, onion, celery and carrots.,
,When your vegetables are soft, return the seared lamb shanks to the pot.,
,Cover with a litre of stock, throw in a tin of whole tomatoes, and then a few large glugs of red wine.,
,Gently simmer for a few min.,
,Cover the pot securely with a lid or tinfoil and place in the oven at 180 °C.,
,Cook for 2½ hrs.,
,At this point, add any extra vegetables of your choice and cook for a further 30 min.,
,Serve with buttery mashed potatoes and garnish with fresh herbs.,
"
"
                Easy-to-carve Stuffed Leg of Lamb
            ","
                    This delicious stuffed lamb leg roast is so easy to prepare. Follow the simple instructions to create a special-occasion meal, to delight your family and friends.
                ","
                ,
2 kg leg of lamb; deboned and butterflied,
1 onion; peeled and sliced,
2 carrots; peeled and roughly chopped,
2 sticks celery; roughly chopped,
2 sprigs rosemary,
3 garlic cloves; peeled,
,
                ,
Olive oil,
1 small red onion; peeled and finely chopped,
2 garlic cloves; peeled and crushed,
1 tbsp. oregano leaves,
30 g parsley,
,
,
                ,15 g mint,
100 g macadamia nuts,
Zest of 1 lemon,
2 anchovy fillets,
2 tbsp. fresh breadcrumbs,
Salt and freshly ground pepper","Heat olive oil in a frying pan and gently sauté onions, garlic and oregano until lightly golden.,
,Remove from pan and allow to cool.,
,Place fried onions into a food processor together with the remaining ingredients and pulse until combined.,
,Add 2 tbsp. olive oil and season with salt and freshly ground pepper.,
,Lay the butterflied leg of lamb, skin side down, on a chopping board and smear the stuffing over.,
,Roll into a sausage and tie tightly with string at 2 cm intervals to ensure the lamb holds its shape and cooks evenly.,
,Place the sliced onions, carrots, celery, rosemary and garlic into a deep roasting tray and place the lamb on top.,
,Roast in a preheated oven at 200 °C for 15 min. before reducing the heat to 170 °C and cooking for a further 40–45 min. for medium doneness. Adjust the time depending on how you like your meat done.,
,Remove from oven and allow to rest for at least 20 min. before removing the string and carving.,
"
"
                Citrus Roast Chicken
            ","
                    Not only will it look gorgeous and appetising when set on the table, but you’ll get a tangy surprise in every bite with this roast chicken recipe. For those looking for something different, try this new take on an old favourite and get ready to amaze your family and guests. This tender chicken, with its herb and sweet citrus flavours, is all the better when served with sides like roast potatoes, rice, creamed spinach, steamed vegetables or butternut for an all-round hearty meal.
                ","
                ,
500 ml (2 cups) orange juice,
Grated rind of 1 lemon,
60 ml (¼ cup) soy sauce,
125 ml (½ cup) soft brown sugar,
15 ml (1 tbsp.) honey,
1 red onion; quartered,
3 cloves garlic; crushed,
2 ml (½ tsp.) Tabasco sauce,
                ,15 ml (1 tbsp.) thyme and/or chopped basil,
3 ml (generous ½ tsp.) prepared mustard,
,
1 whole chicken; trussed,
Salt and freshly ground black pepper,
                ,1 orange, 2 lemons & 3 limes; quartered,
Whole garlic cloves; peeled,
Thyme sprigs,
Butter,
Chicken stock or water,
Plain yoghurt","Mix the ingredients.,
,Marinate the chicken for at least 1 hour or overnight.,
,Preheat the oven to 200 °C.,
,Season the chicken inside and out with salt and pepper and put it in a roasting pan, breast side up.,
,Arrange the fruit, garlic and thyme around the chicken and pour over the marinade. Rub the chicken with butter and roast for 15 min.,
,Reduce the oven temperature to 160 °C and roast for another 1–1½ hours or until the chicken is juicy and done.,
,Rub the chicken with extra butter and baste it with pan juices while roasting.,
,Transfer the chicken to a serving platter and arrange the fruit around it.,
,Add a little chicken stock or water to the pan juices and bring the liquid to the boil. Reduce to make a fragrant sauce.,
,Stir in a little yoghurt.,
,Serve the chicken with the sauce and a salad."
"
                Buttermilk Fried Chicken
            ","
                    This buttermilk chicken recipe makes for a perfect dinner meal, but is also great for leftovers. Using buttermilk and a scrumptious mix of spices and herbs results in tender, juicy meat. Be sure to give it a squeeze of lemon to really bring out the flavour, and serve it with your favourite salad, vegetables, roasted potatoes or chips. Either way, neither you nor your friends and family will be able to resist this yummy shallow fried chicken.
                ","
                ,4 large chicken breasts; flattened slightly,
Oil for shallow frying,
                ,15 ml mixed herbs,
250 ml buttermilk,
                ,15 ml paprika,
250 ml flour,
","Season the chicken with salt and pepper and pour the buttermilk over.,
,Mix the flour, paprika and herbs, and season with salt and pepper.,
,Remove the chicken from the buttermilk and roll in the flour mixture.,
,Shallow-fry in hot oil until golden and done.,
,Serve with a salad and lemon wedges."
"
                One-Pan Lemon Chicken Roast
            ","
                    Dress up an old family favourite with lemon and herbs – the fancy, fresh kind! All you need is one pan to serve four loved ones this mouth-watering meal.
                ","
                ,1 whole chicken,
2 tbsp. (30 ml) olive oil, plus extra to drizzle,
6–8 thyme sprigs; leaves only,
1 lemon,
½ tsp. (2.5 ml) paprika,
Salt and freshly ground black pepper,
                ,4 sage sprigs,
4 thyme sprigs,
2 oregano sprigs,
1 onion; peeled and thickly sliced,
2 carrots; peeled and chopped,
2 celery stalks; chopped,
1 garlic bulb; halved,
                ,2 lemons; halved,
6 potatoes; washed and cut into thick wedges,
4 tsp. (20 ml) flour,
½ cup (125 ml) white wine,
1 cup (250 ml) chicken stock","Preheat oven to 220 °C.,
,Rinse the chicken and pat dry.,
,Pour the olive oil into a small bowl and add the thyme, zest of 1 lemon, paprika and season with salt and pepper. Brush all over the chicken, season again and place the sage, thyme and oregano inside the cavity.,
,Place the onions, carrots, celery, halved garlic bulbs and lemons in a roasting tray, drizzle with olive oil and place chicken on top. Roast for 25 min.,
,Place potatoes into a large bowl, drizzle with olive oil and season.,
,Add the potato wedges to the roasting tray and reduce oven temperature to 190 °C. Roast for 1 hr and 15 min. or until chicken is cooked through and potatoes are golden brown and crisp. Tip: Prick the chicken thigh with a skewer and, if the juices run clear, the chicken is cooked.,
,Remove the chicken, potatoes and caramelised lemons from tray and set aside.,
,Place tray with roasted vegetables directly over medium heat. Add the flour to form a golden paste.,
,Pour in the wine and continue to stir, scraping up any caramelised bits sticking to the bottom of the pan.,
,Add in the stock and allow to simmer gently for about 2 min. or until thickened to form a gravy.,
,Strain and serve alongside the roast chicken and potatoes with a squeeze of caramelised lemon.,
"
"
                Pork Belly Ribs with Mustard Sauce
            ","
                    Yum! That’s all we can say about this mouth-watering recipe.
                ","
                ,
3 eggs,
160 ml sugar,
20 ml mustard powder,
10 ml mustard seeds,
                ,250 ml wine vinegar,
Salt,
15 ml each fresh chives, origanum and dill; chopped,
125 ml sour cream or Greek yoghurt,
                ,
1 whole Farmstead premium pork belly (+/- 1 kg),
Salt and pepper,
Seared veggies and sweet potatoes; baked in aluminium foil to serve","Whisk the eggs well in a glass bowl. Gradually add the sugar, mustard powder and seeds, and whisk well.,
,Add the vinegar gradually and whisk. Season with salt and add the fresh herbs.,
,Whisk over a saucepan of boiling water (the bowl doesn’t touch the water) until the mixture has thickened & just begins to simmer.,
,Allow to cool, then stir in the sour cream or yoghurt.,
,Season the pork belly with salt and pepper. Grill high above hot coals until done, turning frequently, about 40 min.,
,Cut into strips and serve the pork with the mustard sauce, veggies and sweet potato."
"
                Pork Ribs
            ","
                    You simply can't go wrong with well-prepared, perfectly sauced, dripping with tastiness, fall-off-the-bone ribs. This pork ribs recipe might take a little longer to prepare, but in the end it will all be worth it – and everyone will agree. Marinate these in the fridge overnight for the most flavourful and best possible results. Serve with potato wedges, a side salad and plenty of napkins.
                ","
                ,15 ml (1 tbsp.) oil,
1 onion; finely chopped,
2 garlic cloves; crushed,
5 ml (1 tsp.) ground coriander,
5 ml (1 tsp.) cumin,
5 ml (1 tsp.) allspice,
                ,2 ml (½ tsp.) cayenne pepper,
30 ml (2 tbsp.) brown sugar,
5 ml (1 tbsp.) lemon juice,
80 ml (⅓ cup) chutney,
15 ml (1 tbsp.) Dijon mustard,
                ,45 ml (3 tbsp.) apricot jam,
250 ml (1 cup) water,
Salt and freshly ground black pepper,
2 kg pork ribs","To make the rib marinade, heat the oil in a saucepan over medium heat and sauté the onion and garlic for 4 minutes until soft and golden. Add the spices. Stir for about 2 minutes.,
,Add the brown sugar and lemon juice and stir until combined. Add the chutney, Dijon mustard, apricot jam and the water. Lightly season with salt and black pepper.,
,Bring to the boil, reduce the heat and simmer for 15 minutes, stirring occasionally until thickened. Remove from heat and cool.,
,Place the ribs in a large dish and pour the marinade over. Marinate overnight or at least 2 hours.,
,Grill (meat) over an open fire for 15 to 20 minutes. Serve with baked potato wedges and a salad.,
"
"
                Glazed Gammon with Apricot Glaze
            ","
                    Almond-stuffed apricots bring a dash of sweetness to this exquisite glazed gammon dish, delicious served hot or cold!
                ","
                ,
1 tbsp. olive oil,
1 tbsp. fresh ginger; chopped,
¾ cup dried apricots; thinly sliced,
2 tbsp. brown sugar,
2 tbsp. soy sauce,
1 tbsp. runny honey,
                ,1½ cups apricot or orange juice,
½ cup smooth apricot jam,
Salt and black pepper,
1 tsp. sesame oil (optional),
2–3 kg gammon; boneless or bone-in,
2 bay leaves,
                ,10 black peppercorns,
6 garlic cloves,
1–2 tbsp English mustard","Remove the gammon from its packaging and place it in a large pot.,
,Cover with cold water and bring to a boil.,
,Remove from the heat, drain and clean the pot.,
,Put the gammon back into the pot, add the bay leaves, peppercorns and cloves and cover with water.,
,Bring to a boil, reduce the heat and simmer for 2½ hrs or until the gammon is cooked through.,
,Once the gammon is tender, remove the pot from the heat and allow the gammon to cool in the stock.,
,For the glaze, place all of the ingredients into a small saucepan and simmer over a medium heat until slightly reduced and syrupy.,
Remove from heat and set aside.,
,Preheat oven to 200 °C.,
,Remove the skin gently, keeping a thin layer of fat on it to keep it moist, succulent and flavourful.,
,Place in a foil-lined roasting pan.,
,Score the fat in a diamond pattern, rub the surface with a little English mustard, pour over half the glaze and roast.,
,As soon as the top starts to bubble, keep your eye on it – you don’t want the sugar in the glaze to burn.,
,Remove from the oven & spread the remaining glaze over the top.,
Return to the oven until just starting to bubble again, not brown.,
,Remove from the oven and let the gammon rest for about 20 min. before you carve it.,
,Serve hot or cold."
"
                Ginger & Chilli Pork Belly
            ","
                    Melt-in-the-mouth pork belly that’s crispy on top with fiery chilli and ginger flavours. It’s the perfect dish to prepare for a Sunday lunch!
                ","
                ,1 kg trimmed pork belly,
4 cm knob fresh ginger; peeled,
2 medium chillies; finely chopped,
1 stalk lemongrass; washed,
1 star anise pod,
                ,50 ml soy sauce,
50 ml brown sugar,
Handful fresh coriander; washed and chopped,
1 lemon; juiced,
                ,Fresh rocket; to serve,
Fresh mint; to serve,
Sliced cucumber; to serve,
Sesame oil; to dress (optional)","Preheat the oven to 150 °C.,
,Score the fat side of the pork belly diagonally with a sharp knife and place it in a roasting dish.,
,In a separate bowl, mix the soy sauce, brown sugar, coriander, lemon juice, chillies and star anise.,
,Grate the lemongrass and fresh ginger into the mixture and stir well.,
,Pour the mixture over the pork belly and rub it into the score marks.,
,Cover with foil and place the dish in the oven.,
,Allow to braise slowly for 3 hrs, then uncover and grill while basting with the pan juices until crispy.,
,While the belly cools slightly, arrange the salad by combining the rocket, mint and cucumber.,
,Dress lightly with sesame oil and arrange slices of pork belly on top."
"
                Classic Steak & Chips with Mustard Sauce
            ","
                    There’s little that beats a great steak – except, perhaps, the combination of steak and chips.
                ","
                ,6 “chips” potatoes; peeled and sliced into 1 cm chips,
1.5 L sunflower oil,
4 x 200 g Steakhouse Classic rib-eye steaks,
                ,5 tbsp. (75 ml) olive oil,
Salt and freshly ground black pepper,
20 g parsley,
20 g coriander,
                ,2 tbsp. (30 ml) white wine vinegar,
1 clove of garlic,
1 tsp. (5 ml) honey,
2 tbsp. (30 ml) wholegrain mustard","Pour the sunflower oil into a deep fryer or large pot and heat to 130 °C. If using a pot, use an oil thermometer to check temperature of oil.,
,Deep-fry chips in batches (as to not overcrowd the pot or fryer) for 8–10 min. or until cooked through but not yet golden brown.,
,Remove chips from fryer and increase temperature of oil to 190 °C. Fry chips in hot oil for a further 3–4 min. or until crispy and golden brown.,
,Remove chips from fryer and place on paper towel to drain any excess oil.,
,Season with salt and serve immediately.,
,To grill the steaks, heat a heavy-based pan over a high heat until smoking hot. Drizzle each steak on both sides with a little olive oil and season with salt and pepper. Fry over high heat for 3–4 min. on each side for medium rare.,
,Remove steak from pan and allow to rest for 5 min. before serving.,
,Place parsley, coriander (leaves and stalks), vinegar, the remaining olive oil, garlic and honey in a blender and blend for 3 min. or until a smooth sauce is achieved. Season with salt and pepper, and stir through the mustard.,
,Serve with steak and chips.,
"
"
                Grilled T-Bone with Creamy Sauce
            ","
                    There's nothing quite like a well-cooked steak. This grilled T-bone steak with a creamy Parmesan and thyme sauce is no exception. Simply follow the easy recipe.
                ","
                ,
4 sprigs fresh thyme; leaves removed,
¼ cup sea salt flakes,
,
,
1 head of garlic,
15 ml olive oil,
                ,1 L fresh cream,
Small handful fresh thyme,
2 cups grated Parmesan,
Sea salt & freshly ground black pepper to taste,
                ,
800 g T-bone steak,
Sea salt,
Freshly ground black pepper,
Truffle oil to drizzle","Preheat the oven to 180 °C.,
,To make the thyme salt, place the salt and thyme in a mortar and pestle and grind until well combined. Set aside to infuse.,
,To prepare the garlic, slice off the top ¼ of the head, drizzle with olive oil, wrap in foil and bake in the oven for around 15–20 minutes or until soft and golden.,
,In a deep saucepan on medium heat, place the cream and fresh thyme sprigs – remove a few thyme leaves and sprinkle into the sauce with the sprigs.,
,Bring the cream to the boil and allow to simmer and reduce until thickened.,
,Once the garlic is cooked, allow to cool slightly before squeezing out the cloves into the sauce.,
,Puree the sauce with a stick blender until smooth.,
,Whisk in the Parmesan.,
,Season with salt and pepper to taste and remove the sauce from heat until you are ready to serve.,
,Pat the T-bone dry to remove any excess moisture. Rub with olive oil and season with salt & pepper.,
,Heat a griddle pan to high.,
,Once smoking hot, add the T-bone to the pan and cook until nicely caramelised – about 7 minutes on one side and 4 minutes on the other for medium rare. Cook for longer if desired. Remove from the pan and allow to rest.,
,Turn your sauce back on, bring to the boil.,
,Place T-bone on a chopping board. Slice both sides of the T-bone away from the bone and into 2 cm slices with a very sharp knife leaving the bone in for presentation.,
,Place on a serving platter, pour over the hot cream sauce, drizzle with truffle oil and sprinkle with thyme salt.,
"
"
                Beef Teriyaki Kebabs
            ","
                    An easy recipe for tender and juicy Japanese style Teriyaki Steak Kebabs paired with brown mushrooms. There is so much flavour in these kebabs, you’ll want to add these to your dinner menu every night!
                ","
                ,500 g beef cubes (rump or sirloin/porterhouse),
                ,1 kg brown mushrooms,
                ,125 ml teriyaki sauce","Marinate the mushrooms and meat in the teriyaki sauce for 4 hours or overnight.,
,Thread the mushrooms and meat alternately on pre-soaked kebab skewers.,
,Cook in the oven on 230 °C for 10–15 min. or until done."
"
                Perfect Fillet with Crown Chips
            ","
                    Want to oven roast a whole fillet? Here’s how to get it right, step by step.
                ","
                ,1 packet (500 g) coarse salt,
150 g butter,
4 garlic cloves; finely chopped,
1 beef fillet (about 1.6kg),
                ,500 ml fresh herbs such as basil, parsley, sage and rosemary; finely chopped,
                ,
Large chip potatoes; peeled,
Oil; for deep-frying,
Salt","For the fillet, sprinkle the salt in the bottom of a roasting tin, covering it completely. Melt the butter with the garlic over low heat in a small saucepan.,
,Pat the fillet dry with paper towels and brush with the garlic butter.,
,Roll the fillet in the finely chopped herbs, coating it completely.,
,Put the fillet on the bed of salt. Brush the top with more garlic butter. Grill the fillet for 7–10 min.,
,Remove the roasting tin from the oven and turn the fillet. Brush with garlic butter again and grill for another 7–10 min.,
,Remove from the oven and transfer the fillet to a serving platter. Leave the meat to rest for 10 min. before cutting into 2 cm thick slices. ,Serve with crown chips and gourmet sauces.,
,To make the chips, cut the potatoes into 5 mm thick slices and cut each slice into the shape of a crown.,
,Heat enough oil for deep-frying in a saucepan.,
,Fry the chips until done but not browned. Drain.,
,Just before serving, fry again in hot oil until golden.,
"
"
                Roast Leg of Lamb
            ","
                    Few things are as Easter (and impressive) as a whole roast leg of lamb. Being a naturally flavoursome cut of meat, this Easter roast won’t ask for nearly as much effort as you might think. We used the classic rosemary and lamb pairing here and made it extra special with some dates, bacon and garlic. Just keep in mind that the bacon pieces already add some saltiness to the dish, so you don’t need to go overboard when you season the meat. Serves: 12.
                ","
                ,3 kg leg of lamb,
1 tsp. olive and rosemary spice or steak and chops spice,
5 ml balsamic vinegar,
¼ cup canola or olive oil,
                ,½ block (125 g) pitted dates,
250 g bacon bits,
5 heads of garlic,
10 rosemary sprigs,
                ,1 large cauliflower head,
1 large broccoli head,
20 medium carrots,
Salt and pepper, to taste","Mix oil and spices together.,Cut slits (1 – 5 cm deep) all over the leg of lamb, spaced 2.5 cm apart.,Cut dates into small pieces.,Clean 1 head of garlic into cloves. Cut cloves into lengthwise quarters.,Push dates, bacon bits and garlic into cuts. Top with smaller rosemary sprig pieces.,Repeat until all slits are filled.,Rub meat with spice mixture.,Place in large oven pan and cover with sheet of heavy-duty foil.,Place in middle of oven at 180°C and bake for 4½ - 5 hours. The inside will be a little pink and juicy.,Remove from oven and leave to rest for 10 minutes before carving into thin slices. Garnish with the remaining rosemary sprigs.,Cut broccoli and cauliflower into pieces.,Peel carrots keep them whole.,Put separately into microwave dishes and cover.,Cook on high for 5 minutes.,Add vegetables to the oven pan 15 minutes before cooking time is complete.,
,When it comes to cooking time, a good rule of thumb to use is to add 50 minutes of oven time for every 500 g of meat.,
"
"
                Nested Chocolate Cake
            ","
                    A soft chocolate sponge cake covered in melted chocolate is given an Easter makeover with a crunchy outer layer and ‘nested’ speckled eggs. Cheerful and triple chocolatey, this cake recipe makes for a fun and scrumptious dessert or teatime treat. Adults and kids alike will love it!
                ","
                ,
2 cups plain flour, sifted,
¾ cups cocoa powder,
1 ½ tsp. baking powder,
2 tsp. bicarbonate of soda,
Pinch of salt,
1 cup milk,
1 tsp. vanilla essence,
                ,½ cup vegetable oil,
2 whole eggs, at room temperature,
2 cups granulated sugar,
1 cup water,
,
,
160 g milk chocolate,
125 ml cream,
                ,6 biscuits,
160 g milk chocolate, melted,
,
,
2 bags of chocolate eggs","Preheat the oven to 180 °C.,
,Prepare a 23 cm round spring form cake tin with baking paper.,
,In a large bowl, mix the dry ingredients together.,
,Add the milk, vanilla, oil and eggs and mix before adding in the sugar and water.,
,Pour the mixture into the prepared cake tin and bake for 30-40 minutes.,
,Once cooked and a cake tester comes out clean, remove from the oven and set aside to cool until cool enough to handle.,
,Once cool, remove from the spring from tin and set aside to cool on a cooling rack and remove the baking paper from the bottom of the cake.,
,To prepare the nest part of the cake; melt the milk chocolate and cream together over a double boiler to ensure it is silky and smooth.,
,Be sure to not get water or steam in the mixture as it will split.,
,With a small palate knife, cover the chocolate cake evenly.,
,In a large bowl crumble the biscuits and top with the melted chocolate, combine until the mixture is evenly coated with the chocolate.,Press the chocolate coated mixture onto the cake leaving the centre open. Press the mixture evenly down the sides and press to secure.,Top with the chocolate eggs and enjoy.  ,
"
"
                Hot Cross Bun French Toast
            ","
                    We’re taking the traditional French toast recipe and kicking it up a notch! This is the perfect Easter breakfast treat that the whole family can help make together!
                ","
                ,4 choc chip hot cross buns,
2 eggs,
2 tbsp. milk,
2 tbsp. butter (for frying),
200 g berries,
,
                ,2 tbsp. sugar,
½ tsp. ground cinnamon,
Pinch of ground nutmeg,
Pinch of ground cloves,
                ,100 g white chocolate, broken into small pieces,
1 tbsp. cream","To make the spiced sugar: mix all ingredients together and set aside.,
,To make the white chocolate sauce, place the chocolate and cream in a heatproof bowl over a pot of simmering water and allow to melt completely. Keep warm and set aside.,
,To make the French toast, place the eggs and milk into a bowl and whisk until just combined. Dip the hot cross buns into the egg wash and set aside.,
,Heat a frying pan with a little butter and fry the hot cross buns for about 3-4 minutes on each side or until lightly golden.,
,Remove from pan and place onto your serving plates or platter.,
,To serve, garnish with seasonal berries, a light dusting of spiced sugar and a generous drizzle of white chocolate sauce.,
,
Makes: 4 hot cross bun French toast slices."
"
                Hot Cross Bun Waffle Toasties
            ","
                    Throw a spin on the traditional toasted hot cross bun! All you need is a waffle maker and the below ingredients.
                ","
                ,4 hot cross buns,
2 tbsp. butter,
                ,
4 tbsp. peanut butter,
,
                ,2 bananas; peeled and thinly sliced,
4 figs; cut into quarters,
4 tbsp. maple syrup for drizzling","Slice the hot cross bun in half and smear each side with a little butter.,
,Place into a waffle maker and toast until golden brown and crisp.,
,Smear the hot cross bun waffle with a heaped teaspoon of peanut butter.,
,Top with a few slices of banana, fresh figs, some toasted pecan nuts and a drizzle of maple syrup.,
,Smear the hot cross bun waffle with a good helping of cream cheese.,
,Top with smoked salmon, caper berries, thinly sliced red onion and some fresh dill or micro herbs.,
,Season with black pepper and a squeeze of lemon just before serving.,
"
"
                Hot Cross Bun Ice Cream Sandwiches
            ","
                    A delicious Easter dessert that takes no time at all to make! Chocolate, ice cream and hot cross buns are ALWAYS a good idea!
                ","
                ,6 Hot Cross Buns,
                ,6 scoops of blueberry ice cream,
,
                ,180 g Chocolate Slab","Preheat the grill to medium heat.,
,Halve the hot cross buns horizontally and toast under the hot grill, cut side up for 2 minutes or until golden.,
,Place a scoop of ice cream onto the base of each bun.,
,Top with the remaining hot cross bun halves and squash down gently.,
,Melt the slab of chocolate and drizzle over the hot cross bun sandwich.,
,Serve and eat before the ice cream melts.,
"
